#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      8.94e+00      1.33e-02      8.94e-02      1.93e-02    5.7e-04
 164000      8.46e+00      1.31e-03      8.44e-02      3.28e-02    5.7e-04
 166000      5.50e+00      1.95e-03      5.50e-02      1.63e-02    5.7e-04
 168000      8.36e+00      1.38e-02      8.36e-02      2.15e-02    5.6e-04
 170000      1.02e+01      1.63e-02      1.02e-01      1.66e-02    5.6e-04
 172000      3.74e+00      7.31e-03      3.74e-02      8.63e-03    5.6e-04
 174000      1.05e+01      2.02e-03      1.05e-01      2.30e-02    5.5e-04
 176000      1.11e+01      4.11e-03      1.11e-01      1.92e-02    5.5e-04
 178000      8.94e+00      9.90e-03      8.94e-02      1.85e-02    5.4e-04
 180000      6.94e+00      2.92e-02      6.85e-02      5.65e-02    5.4e-04
 182000      9.98e+00      6.35e-03      9.96e-02      3.70e-02    5.4e-04
 184000      6.43e+00      1.96e-02      6.43e-02      1.91e-02    5.3e-04
 186000      2.13e+00      1.94e-02      2.12e-02      1.23e-02    5.3e-04
 188000      7.24e+00      8.13e-03      7.22e-02      3.10e-02    5.3e-04
 190000      8.65e+00      3.89e-03      8.63e-02      2.60e-02    5.2e-04
 192000      8.38e+00      1.93e-02      8.37e-02      1.84e-02    5.2e-04
 194000      6.17e+00      9.30e-03      6.16e-02      1.50e-02    5.2e-04
 196000      9.10e+00      1.61e-02      9.08e-02      3.61e-02    5.1e-04
 198000      9.24e+00      7.86e-03      9.22e-02      2.67e-02    5.1e-04
 200000      5.45e+00      1.54e-02      5.44e-02      2.41e-02    5.0e-04
 202000      8.00e+00      1.08e-02      7.98e-02      3.25e-02    5.0e-04
 204000      8.65e+00      2.46e-02      8.63e-02      3.48e-02    5.0e-04
 206000      6.45e+00      1.60e-02      6.43e-02      2.30e-02    4.9e-04
 208000      1.02e+01      2.70e-03      1.02e-01      2.80e-02    4.9e-04
 210000      3.92e+00      1.31e-02      3.90e-02      2.81e-02    4.9e-04
 212000      6.91e+00      5.12e-03      6.91e-02      1.17e-02    4.8e-04
 214000      7.28e+00      1.47e-03      7.28e-02      2.07e-02    4.8e-04
 216000      1.03e+01      7.90e-03      1.03e-01      2.20e-02    4.8e-04
 218000      1.43e+00      1.43e-02      1.38e-02      1.94e-02    4.7e-04
 220000      6.82e+00      3.00e-02      6.82e-02      1.57e-02    4.7e-04
 222000      9.83e+00      1.29e-02      9.82e-02      2.93e-02    4.7e-04
 224000      7.36e+00      7.11e-03      7.35e-02      2.09e-02    4.6e-04
 226000      7.94e+00      8.03e-03      7.93e-02      1.85e-02    4.6e-04
 228000      7.93e+00      1.51e-03      7.89e-02      4.80e-02    4.6e-04
 230000      6.04e+00      6.11e-03      6.04e-02      1.74e-02    4.6e-04
 232000      6.87e+00      2.48e-02      6.85e-02      3.32e-02    4.5e-04
 234000      6.23e+00      1.14e-02      6.20e-02      3.51e-02    4.5e-04
 236000      7.35e+00      4.51e-03      7.34e-02      2.49e-02    4.5e-04
 238000      9.53e+00      4.23e-03      9.52e-02      2.23e-02    4.4e-04
 240000      8.36e+00      8.93e-03      8.36e-02      1.73e-02    4.4e-04
 242000      8.88e+00      2.32e-02      8.87e-02      1.33e-02    4.4e-04
 244000      1.06e+01      1.49e-02      1.06e-01      5.43e-02    4.3e-04
 246000      7.46e+00      9.46e-03      7.45e-02      2.12e-02    4.3e-04
 248000      8.84e+00      1.19e-02      8.83e-02      1.71e-02    4.3e-04
 250000      2.78e+00      6.90e-03      2.72e-02      4.09e-02    4.3e-04
 252000      5.11e+00      1.48e-03      5.08e-02      2.69e-02    4.2e-04
 254000      3.74e+00      3.26e-02      3.72e-02      2.21e-02    4.2e-04
 256000      5.77e+00      7.78e-03      5.77e-02      1.21e-02    4.2e-04
 258000      4.36e+00      1.11e-02      4.35e-02      1.44e-02    4.1e-04
