#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      1.01e+02      1.23e-01      9.99e-01      1.02e+00    1.0e-03
   2000      1.79e+01      2.34e-02      1.79e-01      2.47e-02    9.9e-04
   4000      1.28e+01      5.20e-02      1.27e-01      5.95e-02    9.9e-04
   6000      1.47e+01      6.55e-02      1.45e-01      1.29e-01    9.8e-04
   8000      1.43e+01      1.11e-01      1.34e-01      1.77e-01    9.7e-04
  10000      1.06e+01      6.65e-03      1.06e-01      2.05e-02    9.7e-04
  12000      1.38e+01      7.83e-02      1.37e-01      2.10e-02    9.6e-04
  14000      1.20e+01      8.24e-02      1.19e-01      1.42e-02    9.5e-04
  16000      9.24e+00      7.00e-02      9.22e-02      2.44e-02    9.5e-04
  18000      8.07e+00      2.32e-02      8.02e-02      4.27e-02    9.4e-04
  20000      1.04e+01      5.37e-02      1.04e-01      2.32e-02    9.3e-04
  22000      1.00e+01      1.98e-02      1.00e-01      1.68e-02    9.3e-04
  24000      5.34e+00      4.80e-02      5.33e-02      9.29e-03    9.2e-04
  26000      7.68e+00      3.35e-02      7.55e-02      3.88e-02    9.1e-04
  28000      9.59e+00      3.50e-03      9.41e-02      5.43e-02    9.1e-04
  30000      1.17e+01      6.84e-03      1.17e-01      1.18e-02    9.0e-04
  32000      5.15e+00      1.69e-02      5.12e-02      4.89e-02    9.0e-04
  34000      7.99e+00      1.27e-02      7.98e-02      1.59e-02    8.9e-04
  36000      8.23e+00      1.19e-02      8.20e-02      1.94e-02    8.8e-04
  38000      6.79e+00      2.23e-02      6.78e-02      1.78e-02    8.8e-04
  40000      8.65e+00      1.20e-02      8.64e-02      1.59e-02    8.7e-04
  42000      9.27e+00      1.17e-02      9.24e-02      4.09e-02    8.7e-04
  44000      9.72e+00      2.46e-02      9.71e-02      1.73e-02    8.6e-04
  46000      6.49e+00      1.85e-02      6.21e-02      9.43e-02    8.5e-04
  48000      9.42e+00      2.28e-02      9.40e-02      1.70e-02    8.5e-04
  50000      9.22e+00      4.75e-02      9.13e-02      4.13e-02    8.4e-04
  52000      8.85e+00      2.24e-02      8.82e-02      1.93e-02    8.4e-04
  54000      9.36e+00      2.83e-02      9.35e-02      1.22e-02    8.3e-04
  56000      3.72e+00      1.88e-03      3.70e-02      1.42e-02    8.3e-04
  58000      9.95e+00      1.25e-03      9.94e-02      1.10e-02    8.2e-04
  60000      3.36e+00      8.38e-03      3.33e-02      3.54e-02    8.1e-04
  62000      6.91e+00      4.66e-03      6.87e-02      2.66e-02    8.1e-04
  64000      6.70e+00      7.53e-03      6.69e-02      3.33e-02    8.0e-04
  66000      7.66e+00      5.48e-03      7.65e-02      5.79e-03    8.0e-04
