#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      9.98e+01      1.63e-01      9.95e-01      3.82e-01    1.0e-03
   2000      1.26e+01      2.55e-01      1.10e-01      1.59e-01    9.9e-04
   4000      1.32e+01      1.28e-01      1.31e-01      2.83e-02    9.9e-04
   6000      2.13e+00      1.34e-02      1.80e-02      5.65e-02    9.8e-04
   8000      1.31e+01      1.41e-03      1.30e-01      5.13e-02    9.7e-04
  10000      1.16e+01      1.29e-01      1.14e-01      6.08e-02    9.7e-04
  12000      1.11e+01      3.45e-03      1.11e-01      1.88e-02    9.6e-04
  14000      5.21e+00      4.58e-03      5.10e-02      3.11e-02    9.5e-04
  16000      6.62e+00      2.91e-03      6.35e-02      6.65e-02    9.5e-04
  18000      1.02e+01      4.34e-02      1.02e-01      2.89e-02    9.4e-04
  20000      1.51e+01      1.37e-03      1.50e-01      3.66e-02    9.3e-04
  22000      9.91e+00      2.85e-02      9.89e-02      1.94e-02    9.3e-04
  24000      1.12e+01      2.38e-04      1.11e-01      7.76e-02    9.2e-04
  26000      1.37e+01      2.43e-02      1.33e-01      9.91e-02    9.1e-04
  28000      8.80e+00      2.22e-03      8.70e-02      6.64e-02    9.1e-04
  30000      1.19e+01      3.66e-03      1.17e-01      6.48e-02    9.0e-04
  32000      7.17e+00      1.92e-02      7.05e-02      3.70e-02    9.0e-04
  34000      4.36e+00      1.06e-02      4.31e-02      3.33e-02    8.9e-04
  36000      8.58e+00      9.25e-03      8.53e-02      3.32e-02    8.8e-04
  38000      6.54e+00      6.78e-02      5.50e-02      1.76e-01    8.8e-04
  40000      1.37e+01      2.40e-03      1.36e-01      3.65e-02    8.7e-04
  42000      1.11e+01      3.09e-03      1.11e-01      1.10e-02    8.7e-04
  44000      9.39e+00      3.77e-02      9.25e-02      5.61e-02    8.6e-04
  46000      8.37e+00      3.25e-03      8.37e-02      8.49e-03    8.5e-04
  48000      7.28e+00      7.34e-03      7.19e-02      3.29e-02    8.5e-04
  50000      7.70e+00      1.67e-02      7.68e-02      1.27e-02    8.4e-04
  52000      3.24e+00      4.59e-02      3.19e-02      2.42e-02    8.4e-04
  54000      8.00e+00      2.35e-02      7.37e-02      9.01e-02    8.3e-04
  56000      7.76e+00      1.38e-02      7.73e-02      2.55e-02    8.3e-04
