#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
      0      1.20e+02      1.52e-01      1.20e+00      1.36e-01    1.0e-03
   2000      1.53e+01      1.89e-01      1.50e-01      1.55e-01    9.9e-04
   4000      1.38e+01      2.10e-02      1.37e-01      9.52e-02    9.9e-04
   6000      1.46e+01      8.32e-02      1.45e-01      2.12e-02    9.8e-04
   8000      8.32e+00      1.74e-02      8.25e-02      5.49e-02    9.7e-04
  10000      1.10e+01      2.18e-02      1.09e-01      7.94e-02    9.7e-04
  12000      1.47e+01      3.39e-02      1.44e-01      1.49e-01    9.6e-04
  14000      1.41e+01      2.45e-02      1.40e-01      6.22e-02    9.5e-04
  16000      1.58e+01      1.47e-02      1.58e-01      3.63e-02    9.5e-04
  18000      8.67e+00      9.31e-02      8.44e-02      9.33e-02    9.4e-04
  20000      1.14e+01      9.37e-02      1.13e-01      1.34e-02    9.3e-04
  22000      1.19e+01      1.81e-02      1.19e-01      1.31e-02    9.3e-04
  24000      1.39e+01      1.19e-02      1.39e-01      2.27e-02    9.2e-04
  26000      9.98e+00      3.56e-03      9.96e-02      2.82e-02    9.1e-04
  28000      1.22e+01      4.27e-02      1.22e-01      1.61e-02    9.1e-04
  30000      9.74e+00      2.70e-02      9.74e-02      2.09e-02    9.0e-04
  32000      5.87e+00      1.19e-01      5.65e-02      1.06e-01    9.0e-04
  34000      1.16e+01      8.56e-02      1.15e-01      7.77e-02    8.9e-04
  36000      8.99e+00      8.52e-03      8.92e-02      5.48e-02    8.8e-04
  38000      7.70e+00      2.48e-02      7.69e-02      1.82e-02    8.8e-04
  40000      1.65e+01      3.48e-02      1.64e-01      1.68e-01    8.7e-04
  42000      5.37e+00      1.90e-02      5.34e-02      3.66e-02    8.7e-04
  44000      1.24e+01      7.99e-02      1.24e-01      5.42e-02    8.6e-04
  46000      4.13e+00      7.70e-02      3.98e-02      7.32e-02    8.5e-04
  48000      7.66e+00      1.92e-03      7.65e-02      2.42e-02    8.5e-04
  50000      1.37e+01      8.65e-03      1.36e-01      8.82e-02    8.4e-04
  52000      1.11e+01      9.38e-02      1.11e-01      7.99e-02    8.4e-04
  54000      1.16e+01      2.17e-02      1.16e-01      1.91e-02    8.3e-04
  56000      9.10e+00      3.57e-02      9.08e-02      2.94e-02    8.3e-04
  58000      1.05e+01      3.58e-03      1.05e-01      3.68e-02    8.2e-04
  60000      1.01e+01      3.91e-02      1.00e-01      2.33e-02    8.1e-04
