#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      7.52e+00      2.14e-02      7.45e-02      5.20e-02    5.7e-04
 164000      8.36e+00      2.57e-03      8.34e-02      3.75e-02    5.7e-04
 166000      5.04e+00      6.27e-03      4.94e-02      6.96e-02    5.7e-04
 168000      7.76e+00      1.27e-02      7.75e-02      1.83e-02    5.6e-04
 170000      3.81e+00      2.62e-03      3.81e-02      2.01e-02    5.6e-04
 172000      6.99e+00      1.75e-02      6.97e-02      4.01e-02    5.6e-04
 174000      5.63e+00      1.64e-02      5.62e-02      2.78e-02    5.5e-04
 176000      3.06e+00      4.48e-02      3.02e-02      2.12e-02    5.5e-04
 178000      6.64e+00      3.27e-02      6.61e-02      3.13e-02    5.4e-04
 180000      5.18e+00      2.11e-02      5.16e-02      1.67e-02    5.4e-04
 182000      9.47e+00      1.44e-02      9.47e-02      1.33e-02    5.4e-04
 184000      6.24e+00      1.94e-02      6.23e-02      1.15e-02    5.3e-04
 186000      8.89e-01      8.66e-03      8.22e-03      1.66e-02    5.3e-04
 188000      9.67e+00      5.00e-02      9.66e-02      1.93e-02    5.3e-04
 190000      4.67e+00      2.60e-02      4.65e-02      1.90e-02    5.2e-04
 192000      7.96e+00      1.37e-02      7.96e-02      2.04e-02    5.2e-04
 194000      9.47e+00      2.06e-02      9.42e-02      4.57e-02    5.2e-04
 196000      7.97e+00      1.25e-02      7.95e-02      2.67e-02    5.1e-04
 198000      9.74e+00      8.82e-03      9.71e-02      5.14e-02    5.1e-04
 200000      8.97e+00      1.79e-02      8.96e-02      1.94e-02    5.0e-04
 202000      9.60e+00      1.24e-02      9.59e-02      3.22e-02    5.0e-04
 204000      9.21e+00      3.18e-04      9.20e-02      1.52e-02    5.0e-04
 206000      6.88e+00      6.06e-03      6.88e-02      2.28e-02    4.9e-04
 208000      7.02e+00      3.30e-02      7.01e-02      1.88e-02    4.9e-04
 210000      9.14e+00      3.26e-02      9.12e-02      2.44e-02    4.9e-04
 212000      3.15e+00      7.38e-03      3.09e-02      2.98e-02    4.8e-04
 214000      1.34e+01      3.52e-02      1.34e-01      4.82e-02    4.8e-04
 216000      8.98e+00      2.37e-02      8.96e-02      3.99e-02    4.8e-04
 218000      5.66e+00      5.99e-03      5.65e-02      1.32e-02    4.7e-04
 220000      8.98e+00      1.00e-02      8.97e-02      2.01e-02    4.7e-04
 222000      6.65e+00      1.56e-02      6.63e-02      4.07e-02    4.7e-04
 224000      7.01e+00      1.20e-02      7.00e-02      1.09e-02    4.6e-04
 226000      1.01e+01      5.44e-03      1.01e-01      3.84e-02    4.6e-04
 228000      8.03e+00      2.99e-03      8.02e-02      8.37e-03    4.6e-04
 230000      7.25e+00      4.81e-02      7.22e-02      2.84e-02    4.6e-04
 232000      5.52e+00      1.04e-02      5.49e-02      3.97e-02    4.5e-04
 234000      6.85e+00      7.27e-03      6.81e-02      3.57e-02    4.5e-04
 236000      8.57e+00      2.82e-04      8.56e-02      2.63e-02    4.5e-04
 238000      5.00e+00      4.67e-03      4.93e-02      5.88e-02    4.4e-04
 240000      9.07e+00      2.10e-02      9.05e-02      3.08e-02    4.4e-04
 242000      7.79e+00      2.64e-02      7.75e-02      3.49e-02    4.4e-04
 244000      8.73e+00      7.85e-03      8.73e-02      1.72e-02    4.3e-04
 246000      1.88e+00      3.09e-02      1.83e-02      2.08e-02    4.3e-04
 248000      8.97e+00      2.42e-03      8.97e-02      1.41e-02    4.3e-04
 250000      7.60e+00      1.32e-02      7.58e-02      2.74e-02    4.3e-04
 252000      9.42e+00      1.56e-03      9.40e-02      2.64e-02    4.2e-04
 254000      1.15e+01      7.90e-03      1.15e-01      5.51e-02    4.2e-04
 256000      9.11e+00      3.55e-03      9.10e-02      2.28e-02    4.2e-04
 258000      8.24e+00      3.25e-03      8.22e-02      3.49e-02    4.1e-04
 260000      1.04e+01      3.64e-04      1.03e-01      2.11e-02    4.1e-04
 262000      7.37e+00      1.21e-02      7.34e-02      3.24e-02    4.1e-04
 264000      8.71e+00      4.48e-03      8.71e-02      1.94e-02    4.1e-04
 266000      8.70e+00      5.87e-03      8.69e-02      1.57e-02    4.0e-04
 268000      2.09e+00      2.17e-03      1.98e-02      3.36e-02    4.0e-04
 270000      9.06e+00      2.18e-02      9.06e-02      2.08e-02    4.0e-04
 272000      2.99e+00      4.51e-03      2.87e-02      4.18e-02    3.9e-04
 274000      6.71e+00      1.72e-02      6.70e-02      1.48e-02    3.9e-04
 276000      5.66e+00      4.59e-03      5.64e-02      3.40e-02    3.9e-04
 278000      6.99e+00      8.68e-03      6.99e-02      1.80e-02    3.9e-04
 280000      7.65e+00      4.85e-03      7.63e-02      2.84e-02    3.8e-04
 282000      1.04e+01      1.64e-02      1.04e-01      9.88e-03    3.8e-04
 284000      6.49e+00      4.02e-03      6.47e-02      2.67e-02    3.8e-04
 286000      8.14e+00      6.31e-03      8.12e-02      2.93e-02    3.8e-04
 288000      1.20e+01      5.96e-03      1.20e-01      3.36e-02    3.7e-04
 290000      7.28e+00      2.46e-02      7.27e-02      3.09e-02    3.7e-04
 292000      2.95e+00      6.61e-03      2.93e-02      2.15e-02    3.7e-04
